#,Company,Symbol,Weight,Price,Change,,,,,,,,,,,,,,,,,#
1,Microsoft Corporation,MSFT,4.306542,141.23,-0.11 (-0.08%),,,,,,,,,,,,,,,,,
2,Apple Inc.,AAPL,3.627594,207.79,0.05 (0.02%),,,,,,,,,,,,,,,,,
3,Amazon.com Inc.,AMZN,3.272357,1938.9,-4.15 (-0.21%),,,,,,,,,,,,,,,,,
4,Facebook Inc. Class A,FB,1.933153,199.31,-0.44 (-0.22%),,,,,,,,,,,,,,,,,
5,Berkshire Hathaway Inc. Class B,BRK.B,1.614316,209.8,-0.10 (-0.05%),,,,,,,,,,,,,,,,,
6,JPMorgan Chase & Co.,JPM,1.504764,116.22,0.00 (0.00%),,,,,,,,,,,,,,,,,
7,Johnson & Johnson,JNJ,1.395611,130.72,-0.01 (-0.01%),,,,,,,,,,,,,,,,,
8,Alphabet Inc. Class C,GOOG,1.390948,1249,-1.41 (-0.11%),,,,,,,,,,,,,,,,,
9,Alphabet Inc. Class A,GOOGL,1.363636,1249.88,4.66 (0.37%),,,,,,,,,,,,,,,,,
10,Exxon Mobil Corporation,XOM,1.270959,74.64,-0.17 (-0.23%),,,,,,,,,,,,,,,,,
11,Visa Inc. Class A,V,1.265923,183.35,-0.34 (-0.19%),,,,,,,,,,,,,,,,,
12,Procter & Gamble Company,PG,1.133965,114.55,-0.18 (-0.16%),,,,,,,,,,,,,,,,,
13,Bank of America Corp,BAC,1.075525,30.77,0.00 (0.00%),,,,,,,,,,,,,,,,,
14,Mastercard Incorporated Class A,MA,1.007631,281.96,-0.11 (-0.04%),,,,,,,,,,,,,,,,,
15,Walt Disney Company,DIS,1.002219,144.5,-0.15 (-0.10%),,,,,,,,,,,,,,,,,
16,AT&T Inc.,T,0.989174,34.15,0.00 (0.00%),,,,,,,,,,,,,,,,,
17,Cisco Systems Inc.,CSCO,0.971648,56.36,-0.17 (-0.30%),,,,,,,,,,,,,,,,,
18,Chevron Corporation,CVX,0.959383,123.72,0.00 (0.00%),,,,,,,,,,,,,,,,,
19,Home Depot Inc.,HD,0.950767,216.5,-0.41 (-0.19%),,,,,,,,,,,,,,,,,
20,Pfizer Inc.,PFE,0.949685,42.93,-0.16 (-0.37%),,,,,,,,,,,,,,,,,
21,UnitedHealth Group Incorporated,UNH,0.94749,253.34,0.40 (0.16%),,,,,,,,,,,,,,,,,
22,Intel Corporation,INTC,0.936638,51.4,-0.19 (-0.37%),,,,,,,,,,,,,,,,,
23,Verizon Communications Inc.,VZ,0.93442,56.99,-0.09 (-0.16%),,,,,,,,,,,,,,,,,
24,Merck & Co. Inc.,MRK,0.843786,81.35,-0.08 (-0.10%),,,,,,,,,,,,,,,,,
25,Coca-Cola Company,KO,0.816858,54.15,-0.02 (-0.04%),,,,,,,,,,,,,,,,,
26,Comcast Corporation Class A,CMCSA,0.810013,44.95,0.32 (0.72%),,,,,,,,,,,,,,,,,
27,Wells Fargo & Company,WFC,0.779805,49.15,-0.15 (-0.30%),,,,,,,,,,,,,,,,,
28,Boeing Company,BA,0.730343,345.7,0.70 (0.20%),,,,,,,,,,,,,,,,,
