Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,A,0,0,0,0,21960000000.0,21600000000.0,20.19,20.44,2.15,4.38,4.3,4.3,17.75,22.25,19.94,7.03,22.93,5020000000.0,15.76,2.7,2690000000.0,1220000000.0,1120000000.0,3.44,-11.2,2160000000.0,6.82,1800000000.0,35.08,3.41,16.15,1030000000.0,643250000.0,1.35,71.85,74.88,2750000.0,315990000.0,315140000.0,0.36,88.24,4010000.0,1.75,1.27,3910000.0
0,0,AA,0,0,0,0,4290000000.0,7280000000.0,,14.92,7.42,0.35,0.88,0.6,3.3,-4.76,12.45,5.94,0.7,12160000000.0,65.53,-24.3,3320000000.0,2210000000.0,-579000000.0,-3.12,,834000000.0,4.49,1800000000.0,26.32,1.51,26.38,1070000000.0000001,947370000.0,1.53,22.65,26.18,3380000.0,185520000.0,185120000.0,6.07,0.0,5700000.0,1.86,3.97,5400000.0
0,0,AAPL,0,0,0,0,955830000000.0,988370000000.0,17.48,16.59,1.51,3.7,9.04,3.82,12.78,22.12,25.34,11.54,49.13,258490000000.0,54.15,-5.1,101840000000.0,77340000000.0,57170000000.0,11.89,-16.4,80090000000.0,17.41,112630000000.0,106.39,1.32,22.98,71860000000.0,45630000000.0,1.09,200.93,186.7,26550000.0,4600000000.0,4350000000.0,0.07,60.95,42430000.0,1.93,0.9,47000000.0
0,0,ABBV,0,0,0,0,100170000000.0,132860000000.00002,24.74,7.24,1.39,3.07,,4.07,8.97,12.62,39.63,,,32619999999.999996,21.89,-0.3,25040000000.0,14810000000.0,4090000000.0,2.74,-62.6,5230000000.0,3.54,37920000000.0,,,-5.29,,,0.77,72.68,78.48,9380000.0,1480000000.0,1480000000.0,0.09,71.89,44170000.0,2.67,3.39,19580000.0
0,0,ABC,0,0,0,0,18100000000.0,19980000000.0,20.03,11.67,1.79,0.1,6.2,0.11,8.78,0.53,0.99,2.81,27.86,175150000000.0,817.54,5.6,4580000000.0,2280000000.0,929880000.0,4.3,-90.6,2880000000.0,13.68,4640000000.0,152.81,0.95,13.9,2590000000.0,1880000000.0,1.2,86.31,80.94,1360000.0,210180000.0,152820000.0,27.13,67.99,8109999.999999999,5.94,5.24,7890000.0
0,0,ABT,0,0,0,0,154810000000.0,171710000000.0,53.97,24.24,2.3,5.0,5.01,5.55,23.38,9.36,13.77,,,30930000000.0,17.54,2.7,17920000000.0,7340000000.0,2870000000.0,1.63,37.2,3260000000.0,1.85,19960000000.0,64.13,,17.53,,,0.87,84.8,78.2,5120000.0,1760000000.0,1750000000.0,0.72,76.49,16830000.0,3.18,0.98,13830000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACN,0,0,0,0,125650000000.0,121130000000.0,27.37,24.65,2.93,3.05,9.13,2.94,17.85,11.34,15.0,15.04,39.09,41240000000.0,64.54,3.8,12440000000.0,6790000000.0,4680000000.0,7.2,19.8,4770000000.0,7.49,23990000.0,0.17,1.34,21.56,6620000000.0,5320000000.0,1.0,189.35,172.93,1780000.0,616670000.0,636290000.0,0.23,72.46,6800000.0,3.32,1.07,5830000.0
0,0,ACT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
